doc,title,abstr,pub_name,pmid,pmcid,doi_id,pub_id,auth_lst,affil_lst,pub_year,pub_date,keywrd,section,text,refs,ref_id,ref_count,pmid_cite,doi_cite,ref_titl,ref_auth,ref_year,ref_jrnl
7121243.json,0,0,0,1,0,0,0,0,0,0,0,0,50,0,0,0,126,50,101,24,21,21,21
7445753.json,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
7445754.json,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,5,0,0,0,0
7445755.json,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,72,18,72,3,0,0,0
7445756.json,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,30,15,30,8,5,2,6
7445757.json,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,2,0,0,0,0
7445758.json,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,14,8,14,1,1,0,2
7445759.json,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,2,0,0,0,0
7445760.json,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,2,3,2,0,0,2
7445763.json,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,53,3,53,0,0,0,0
7445764.json,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,24,12,23,4,0,0,2
7445765.json,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,57,8,57,0,0,0,0
7445766.json,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,53,5,53,0,0,0,0
7445767.json,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,2,0,0,0,0
7445768.json,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0
7445769.json,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,47,2,47,1,0,0,0
7445770.json,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,34,15,34,10,0,0,5
7445771.json,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,30,0,30,0,0,0,0
7445772.json,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,21,1,21,0,0,0,0
7445773.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7445774.json,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,34,3,34,0,0,0,0
7445776.json,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,33,5,33,3,0,0,2
7445777.json,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,125,11,125,3,0,0,0
7445778.json,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,54,2,54,0,0,0,0
7445779.json,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,24,4,24,3,3,3,0
7445780.json,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,14,4,12,0,0,0,0
7445781.json,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,40,6,40,4,0,0,1
7445783.json,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,25,4,25,2,1,2,1
7445784.json,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,6,18,2,1,0,1
7445785.json,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,53,10,53,4,0,0,3
7445786.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7445787.json,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,1,5,0,0,0,0
7445788.json,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,39,2,39,0,0,0,0
7445789.json,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,41,3,41,1,0,0,0
7445790.json,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,2,0,0,0,0
7445792.json,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,17,3,17,2,0,0,0
7445793.json,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,1,2,0,0,0,0
7445794.json,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,127,15,127,2,3,2,2
7445825.json,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,46,2,46,0,0,0,0
7445873.json,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,14,0,14,0,0,0,0
7445874.json,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,82,13,82,1,0,0,0
7445875.json,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,50,6,50,1,0,0,0
7445876.json,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,1,2,0,0,0,0
7445878.json,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,16,7,16,5,1,1,2
7445879.json,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,61,13,61,5,0,0,0
7445882.json,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,49,10,49,1,0,1,1
7445883.json,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,33,3,33,1,0,0,0
7445889.json,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,106,23,106,2,0,0,0
7476402.json,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,2,0,0,0,0
7476403.json,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,38,3,38,2,1,0,0
7476404.json,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,23,7,22,3,3,3,3
7513697.json,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,63,18,63,5,1,1,1
7513737.json,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,73,13,73,2,0,0,1
7513738.json,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,33,17,33,9,2,2,4
7513739.json,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,32,10,32,2,0,0,1
7513740.json,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,35,3,35,2,1,1,1
7513808.json,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,37,14,37,1,0,0,0
7566407.json,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,1,3,0,0,0,0
7585643.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7585645.json,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7644442.json,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,70,7,70,0,0,0,0
7644443.json,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,37,11,37,2,0,0,1
7680561.json,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,34,7,34,1,0,0,0
7680562.json,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,39,9,39,2,0,0,0
7737000.json,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,161,25,161,5,3,3,3
7737004.json,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,44,10,44,3,0,0,2
7737007.json,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,68,20,68,0,0,0,2
7751189.json,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,41,8,41,5,2,1,2
7759213.json,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,64,5,64,4,0,1,4
7772472.json,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,4,0,0,0,0
7772474.json,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,58,9,58,0,0,0,0
